Type,Name,Published,Regular price,Categories,Images,Short description
simple,"HP 14 Essential Laptop Computer, 2026 Edition, 128GB SSD, Intel N150 CPU, Long Battery Life, Portabl",1,299.99,laptops,https://m.media-amazon.com/images/I/71wdqOrzV5L._AC_UY654_QL65_.jpg,Rating: 1/5 | Reviews: 1
simple,"Lenovo 15.6&quot; Business Laptop, 2026 Edition, 8GB DDR5 256GB SSD, Win 11 | Intel 4-Core CPU, Copi",1,459.99,laptops,https://m.media-amazon.com/images/I/81wWGYF+tUL._AC_UY654_QL65_.jpg,Rating: 4.4/5 | Reviews: 64
simple,"jumper 15.6&quot; FHD Laptop, 12GB RAM 256GB Storage Expandable to 512GB,1 Year Office 365, Numeric ",1,326.99,laptops,https://m.media-amazon.com/images/I/71pzfgiLZ4L._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 65
simple,"HP 15.6&quot; FHD Laptop 2026 Edition, Intel Processor, 8GB RAM, 256GB SSD | Copilot AI, Long Batter",1,414.99,laptops,https://m.media-amazon.com/images/I/71sTXs4lkqL._AC_UY654_QL65_.jpg,Rating: 4.2/5 | Reviews: 516
simple,"Apple 2026 MacBook Air 13-inch Laptop with M5 chip: Built for AI, 13.6-inch Liquid Retina Display, 1",1,1259.99,laptops,https://m.media-amazon.com/images/I/71pkfQGcMKL._AC_UY654_QL65_.jpg,Rating: 4.8/5 | Reviews: 880
simple,"Apple 2026 MacBook Air 13-inch Laptop with M5 chip: Built for AI, 13.6-inch Liquid Retina Display, 1",1,1199.00,laptops,https://m.media-amazon.com/images/I/71igu9e9hFL._AC_UY654_QL65_.jpg,Rating: 4.8/5 | Reviews: 880
simple,"acer Chromebook Plus 516 Laptop, 16&quot; WUXGA IPS Display, Intel Core i3-1315U, 8GB LPDDR5 RAM, 12",1,479.00,laptops,https://m.media-amazon.com/images/I/71UXElkPstL._AC_UY654_QL65_.jpg,Rating: 5/5 | Reviews: 2
simple,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms, NVIDIA® GeForce RTX™ 5060, Intel®",1,1393.65,laptops,https://m.media-amazon.com/images/I/81n1T4CYfmL._AC_UY654_QL65_.jpg,Rating: 4.5/5 | Reviews: 533
simple,"Dell 16 Touchscreen Laptop, Core 7 150U, 32GB DDR5 RAM 5200MT/s, 1TB SSD | 16:10 FHD+ 300nits WVA/IP",1,1199.99,laptops,https://m.media-amazon.com/images/I/71TmjrKBnBL._AC_UY654_QL65_.jpg,Rating: 5/5 | Reviews: 4
simple,"HP Latest Stream 14&quot; HD Laptop, Intel Celeron Processor, 4GB Memory, 64GB eMMC Storage, Fast Ch",1,219.00,laptops,https://m.media-amazon.com/images/I/51qhN7a-AgL._AC_UY654_QL65_.jpg,Rating: 4/5 | Reviews: 268
